planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Bukit Batok,Gombak,recreation,10,3.7,1,0,0,5,1,0,0,1,3,0,1,0,"“Unexpected Sparring Session” Went to Bukit Gombak ActiveSG Gym to lift weights, not to witness the rise of the next Pay-Per-View champion. There’s this ONE kid wearing a Bukit Tim... || seriously too crowded. 6 treadmill machine and 1 is down for at least a month already. Regularly have to wait up to 30mins for your turn. 3-4 people rotating at any machine is comm... || Conveniently located near MRT. Downside is that it is small, so limited equipment and is often quite crowded, even during non-peak times. Only one squat rack. It might not suit ser...",1,-5,1,-1,3,1
Bukit Batok,Gombak,nature,10,4.7,2,0,0,1,1,0,0,0,2,0,0,0,"Small and nice park. You just need to spend 10 min to 15 min for a walk and look. If you stay in the centre area, not near to this place, I will not recommend it to you. But the vi... || Bukit Gumbak Hill is a hidden gem for nature lovers and hiking enthusiasts! There are several public toilet and rest points with benches, and the entire area is clean and well-main... || Nice lake but outside of Singapore. Beautiful landscape and also animals",2,-1,1,0,2,0
Bukit Batok,Guilin,education,15,4.667,0,0,0,0,1,0,1,0,0,0,1,0,"I am writing this review after my daughter's two years' plus journey with Little Kinder Montessori, Hillview Center. I still remember my daughter started her first school day on Se... || Highly recommended childcare! First impression was the owner, Yvonne, has a humble and meticulous approach with the enrolment and tried to understand my needs and concerns. From th... || Two of my kids attend this school, one graduated two years ago and the other is in the nursery class. I love the school environment, the small class size, the daily outdoor play an...",0,0,1,1,0,1
Bukit Batok,Guilin,transport,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Bukit Batok,Guilin,food,7,2.143,0,0,0,0,1,0,0,0,0,0,1,0,"Nice food, reasonable price with quantity. HALAL ! || Curry pok skin is not nice. 3 for $2.5. What a waste. Only take away. || Terrible here. Seller is stingy as hell. I ordered two flavours for the waffle but look like the dry waffle. I have never seen someone so bloody stingy using a spoon to spread and",0,0,1,0,0,1
Bukit Batok,Guilin,shopping,5,2.8,0,0,0,0,0,0,0,0,1,0,0,0,"I had a really unpleasant experience at this 7-Eleven. The Indian staff member at the counter was extremely rude and dismissive. She kept me waiting for several minutes while she a... || The store is located near to school's. Very convenient a good place to get some chilled ice creams,sodas,snacks etc. But the counter staff an old man is rude. Spoiled my day 02 Aug... || Have been coming here for the past 4 years. Everything was good until recently an Indian female staff who was very SLOW and keeps taking her own sweet time at cashier. Also couldnt...",0,0,0,0,1,0
Bukit Batok,Guilin,recreation,10,3.4,3,0,1,0,0,1,0,0,1,0,0,0,"A nice place for a coffee at the naturally ventilated sheltered space. The indoor hall is well used and host to many activities. It was an amazingly friendly sight. The central cou... || The community center houses several function rooms, study corner, main indoor badminton court/hall (2x courts), and tuition centers. Vending machines and connected food court are s... || A good place for some exercise and for students to study as there are free internet and lots of place to sit. Of course when HA phase over. There is also a coffeeshop behind, Food ...",3,1,-1,0,1,0
Bukit Batok,Guilin,nature,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Bukit Batok,Hillview,education,15,4.733,1,0,0,0,0,0,3,0,0,0,0,0,"My child attended N1 and N2 at Starshine Montessori and it was a wonderful experience. The school environment is cozy and they have a nice outdoor playground as well. The teachers ... || Our daughter has been studying at Starshine from July 2024 to December 2025. As we have recently relocated to Boon Lay, which is closer to my workplace, we will be transferring her... || My children have been attending Starshine Montessori since January 2022. It first started with my daughter in 2022. My daughter entered the school in N2 and graduated in 2024. She ...",1,0,0,3,0,0
Bukit Batok,Hillview,transport,10,4.6,3,0,0,1,2,0,0,0,6,0,0,0,"Hillview MRT is a very well-connected station that provides easy access to nearby restaurants, malls, and various other facilities. A major highlight is the presence of sheltered w... || This MRT Station is my ""home"" MRT Station - I live nearby at Dairy Farm Estate, which is just minutes' walk away. I use this MRT Station to travel to virtually all over Singapore w... || My favourite place, almost visit every day. The old train track remind the history, Hillview is the charming place and also is the only one area having the mountain view. Suitable ...",3,-1,2,0,6,0
