timestamp,api_type,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-16T13:13:14.030494,text_search,Clementi,Clementi West,food,hawker centre,"hawker centre in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:14.893289,text_search,Clementi,Clementi West,food,food court,"food court in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:15.699319,text_search,Clementi,Clementi West,food,coffee shop,"coffee shop in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:16.481360,text_search,Clementi,Clementi West,food,restaurant,"restaurant in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:17.694178,text_search,Clementi,Clementi West,food,cafe,"cafe in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:18.296259,text_search,Clementi,Clementi West,shopping,shopping mall,"shopping mall in Clementi West, Clementi, Singapore",OK,,17,
2026-07-16T13:13:19.027345,text_search,Clementi,Clementi West,shopping,supermarket,"supermarket in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:19.706003,text_search,Clementi,Clementi West,shopping,grocery store,"grocery store in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:20.277295,text_search,Clementi,Clementi West,shopping,convenience store,"convenience store in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:21.201596,text_search,Clementi,Clementi West,shopping,wet market,"wet market in Clementi West, Clementi, Singapore",OK,,5,
2026-07-16T13:13:21.911491,text_search,Clementi,Clementi West,recreation,gym,"gym in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:22.498406,text_search,Clementi,Clementi West,recreation,sports centre,"sports centre in Clementi West, Clementi, Singapore",OK,,11,
2026-07-16T13:13:23.249826,text_search,Clementi,Clementi West,recreation,swimming complex,"swimming complex in Clementi West, Clementi, Singapore",OK,,1,
2026-07-16T13:13:24.169003,text_search,Clementi,Clementi West,recreation,cinema,"cinema in Clementi West, Clementi, Singapore",OK,,7,
2026-07-16T13:13:24.818140,text_search,Clementi,Clementi West,recreation,community club,"community club in Clementi West, Clementi, Singapore",OK,,5,
2026-07-16T13:13:26.887360,text_search,Clementi,Clementi West,recreation,playground,"playground in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:28.906010,text_search,Clementi,Clementi West,nature,park,"park in Clementi West, Clementi, Singapore",OK,,13,
2026-07-16T13:13:29.919460,text_search,Clementi,Clementi West,nature,nature reserve,"nature reserve in Clementi West, Clementi, Singapore",OK,,16,
2026-07-16T13:13:30.809985,text_search,Clementi,Clementi West,nature,garden,"garden in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:31.754606,text_search,Clementi,Clementi West,nature,beach,"beach in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:32.724288,text_search,Clementi,Clementi West,nature,waterfront,"waterfront in Clementi West, Clementi, Singapore",OK,,11,
2026-07-16T13:13:33.278748,text_search,Clementi,Clementi West,nature,park connector,"park connector in Clementi West, Clementi, Singapore",OK,,3,
2026-07-16T13:13:35.350879,text_search,Clementi,Clementi Woods,education,kindergarten,"kindergarten in Clementi Woods, Clementi, Singapore",OK,,2,
2026-07-16T13:13:36.424421,text_search,Clementi,Clementi Woods,education,childcare centre,"childcare centre in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:37.341984,text_search,Clementi,Clementi Woods,education,primary school,"primary school in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:38.075587,text_search,Clementi,Clementi Woods,education,secondary school,"secondary school in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:38.702431,text_search,Clementi,Clementi Woods,education,junior college,"junior college in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:39.599888,text_search,Clementi,Clementi Woods,education,polytechnic,"polytechnic in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:43.913498,text_search,Clementi,Clementi Woods,education,university,"university in Clementi Woods, Clementi, Singapore",DEADLINE_EXCEEDED,,0,
2026-07-16T13:13:48.665721,text_search,Clementi,Clementi Woods,education,tuition centre,"tuition centre in Clementi Woods, Clementi, Singapore",DEADLINE_EXCEEDED,,0,
