planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Ang Mo Kio,Shangri-La,education,10,4.9,6,0,3,0,2,0,0,0,3,0,0,0,"Visited the National Library Building mainly for The Albatross File: Singapore’s Independence Declassified exhibition, and it turned out to be a meaningful experience. The exhibiti... || The National Library is conveniently located with good traffic access from around the island. It’s a comfy cool place to be if your want to study, research and just reading. You ma... || The Albatross File exhibition at NLB is a fascinating showcase of Singapore’s separation history, featuring declassified documents, oral histories, and immersive multimedia display...",6,3,2,0,3,0
Ang Mo Kio,Shangri-La,transport,10,4.6,1,0,0,1,6,0,0,0,3,0,0,0,"Passed by here for a transit. It was interconnected, with a nice walk to the respective MRT lines. Everything there is clean and polished. The toilet is immaculate too, with enough... || Its a lively street in the evenings. Singapore sleeps early so these streets also sleep off 😴. Visit during Daytime and evenings eat the Bread Ice-cream and have a nice time . Some... || I love this new Brown Line Mrt, Orchard Boulevard, huge clean Area, really easy to get to Wheelock place, Shaw Center, Paterson through underground, few stops from Orchard to Marin...",1,-1,6,0,3,0
Ang Mo Kio,Shangri-La,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Ang Mo Kio,Shangri-La,shopping,10,4.2,0,0,0,1,2,0,0,1,4,0,1,1,"AMK Hub is one of the most convenient and practical malls in Ang Mo Kio. The location is excellent, as it is directly connected to Ang Mo Kio MRT station and the bus interchange, m... || AMK Hub is a really convenient neighbourhood mall, especially since it’s directly connected to Ang Mo Kio MRT and the bus interchange. It’s super easy to get to, which makes it a p... || A good, classic neighbourhood mall with food options that leave you spoilt for choice. A rectangular-shaped mall with basements mostly eateries, Level 1 & 2 mostly shops, and Level...",0,-1,2,-1,4,0
Ang Mo Kio,Shangri-La,recreation,10,4.2,1,1,1,0,4,0,0,0,3,0,0,0,"My elderly sister (75yo) stays at block 417. She just gotton her new mobile phone. She is not a tech person, should say sometimes quite fearful (as nowadays too many scam cases via... || Thank you to the Yoga teacher who welcomed me into her practice group and graciously accepted me at my age to train alongside with everyone. She is a humble and warm-hearted teache... || Spacious indoor hall. Ample outdoor car parking nearby. There are plenty of F&B options nearby at pocket-friendly prices.",0,1,4,0,3,0
Ang Mo Kio,Shangri-La,nature,10,4.9,8,0,2,1,0,0,0,0,0,0,0,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",8,1,0,0,0,0
Ang Mo Kio,Tagore,education,10,4.9,5,0,1,0,2,0,0,0,2,0,0,0,"The writing techniques taught by my W@W teacher are easy to remember! Makes it easy to know what to write. I'm not scared of my school exam anymore because I finally have a few tri... || Tr Glenn has been caring and helpful towards my son. He is always prompt and constructive in giving feedbacks on ways to improve my son's compo. My son enjoys his lessons very much... || As a mother of two kids, W@W has been extremely helpful for both of them. It had taught them how to write a fluent composition with interesting storylines, improving their score si...",5,1,2,0,2,0
Ang Mo Kio,Tagore,transport,10,4.5,0,0,0,2,3,0,0,0,5,0,0,0,"One-North is a very well-structured MRT station, perfectly servicing one of Singapore's major business and industrial districts. The layout is refreshingly straightforward, making ... || You would love the nice aroma when you come out of the train in the morning. Still can't figure out from which store. A lot of good food options. Cold storage at the MRT level. || 🟧One-north MRT Station 🟨 9 Ayer Rajah Ave, Singapore 138647 🟦One-North Station is connected to the integrated office/retail complexes of Fusionopolis, Connexis, Symbiosis and Biopo...",0,-2,3,0,5,0
Ang Mo Kio,Tagore,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Ang Mo Kio,Tagore,shopping,10,4.2,0,0,0,3,3,0,0,1,7,0,0,0,"AMK Hub is one of the most convenient and practical malls in Ang Mo Kio. The location is excellent, as it is directly connected to Ang Mo Kio MRT station and the bus interchange, m... || AMK Hub is a really convenient neighbourhood mall, especially since it’s directly connected to Ang Mo Kio MRT and the bus interchange. It’s super easy to get to, which makes it a p... || A good, classic neighbourhood mall with food options that leave you spoilt for choice. A rectangular-shaped mall with basements mostly eateries, Level 1 & 2 mostly shops, and Level...",0,-3,3,-1,7,0
