planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Yishun,Yishun Central,education,10,4.7,1,2,1,1,4,0,0,0,0,0,0,0,"Yishun library is located at the 4th level of Yishun Northpoint City (North wing). A modern designed and cosy place, but is smaller size as compared to the other libraries being si... || Been coming here a lot. Love the place and the small reading nooks. It can get crowded with a lot of students but plenty of spaces you can find. I live that their collection of fic... || Yishun Library moved over to Northpoint lv 4 since ages ago from the Blk 290 near where POSB Yishun North branch is located. Been here multiple times, it’s clean and very cosy to b...",-1,0,4,0,0,0
Yishun,Yishun Central,transport,10,3.1,0,0,0,2,2,0,1,0,6,0,0,0,"Feels good n better with connection escalator to Northpoint. With also shuttle bus to KTPH oso at bus stop. Used to stay around this area so seeing the walkway shelter up was reall... || Yishun MRT Station, located on Singapore’s North-South Line (Red Line), is one of the most convenient and well-connected MRT stations in the northern region. Whether you’re commuti... || Yishun MRT Station in Singapore is a busy yet well-connected transport hub on the North-South Line that links seamlessly with the Yishun Bus Interchange and Northpoint City mall, o...",0,-2,2,1,6,0
Yishun,Yishun Central,food,10,4.4,0,0,0,3,3,0,0,0,0,0,0,0,"A good bowl of Lormee should have that thick, gooey yet smooth gravy and packed with flavour. Unfortunately, this Lormee at Yishun Park (早碗见面 Lor mee & Satay Beehoon) , gravy was d... || Family went there for lunch on a Saturday at around 1130H. It was not too crowded, and we managed to find a table without needing to wait. Parking was okay too. The hawker centre w... || I would like to introduce a delicious Pao Fan at Stall 01-35A if you are dining at Yishun Park Market, 51 Yishun Ave 11. Look for Chef Kelvin — he is very polite and courteous. The...",0,-3,3,0,0,0
Yishun,Yishun Central,shopping,10,4.6,0,0,0,4,3,0,0,1,4,0,0,0,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",0,-4,3,-1,4,0
Yishun,Yishun Central,recreation,10,4.8,0,0,0,1,1,0,0,0,4,0,1,0,"Hamqa Athena Khilfi were the perfect hosts for today. My kids had so so so much fun, and so did i! Will definitely come back, and hopefully it will be them facilitating us again!! || Adventure HQ is the biggest indoor obstacle course in Singapore and a very fun, engaging experience for both adults and kids. The staff are friendly, professional, and take safety ... || Had a fun time at Adventure HQ. Previously did something similar at Action Motion but i’d say that this has much more elements compared to Action Motion. Staffs were friendly and k...",0,-1,1,0,4,1
Yishun,Yishun Central,nature,10,4.6,13,1,0,1,3,0,0,0,2,0,0,0,"🌿Yishun Neighbourhood Park Is located up the hillock at the junction of Yishun Ave 2 and Yishun Ave 7. 🌳The Park is a former rubber plantation. 🌱Up at the quiet park summit is an O... || Neighborhood park, crowded in the morning & evening as many peoples exercise here. Small park but well developed for walk/jog, exercise; it’s also small playgroup suitable for kids... || On a green space Singapore arc This place is tranquail. Probably the highest natural space in Yishun, definitely most enlightened being there. The residents nearby love exercising ...",12,-1,3,0,2,0
Yishun,Yishun East,education,10,4.5,1,2,1,1,3,0,0,0,4,0,0,0,"Yishun library is located at the 4th level of Yishun Northpoint City (North wing). A modern designed and cosy place, but is smaller size as compared to the other libraries being si... || Been coming here a lot. Love the place and the small reading nooks. It can get crowded with a lot of students but plenty of spaces you can find. I live that their collection of fic... || Yishun Library moved over to Northpoint lv 4 since ages ago from the Blk 290 near where POSB Yishun North branch is located. Been here multiple times, it’s clean and very cosy to b...",-1,0,3,0,4,0
Yishun,Yishun East,transport,10,3.9,0,0,0,3,1,0,1,0,8,0,0,0,"Always the escalator is in maintenance during peak hour. Not sure what is the management thinking and most tourist coming to take the shuttle bus to zoo. Almost every month and mai... || Came here just because TEL thomson MRT will start operation at 8.30am on every Saturdays from 22 june to 4 july. My job starts at 7am , so i had to take bus 855 from opp khatib bus... || One of our earlier MRTs with a simple, grassroots vibe. And with a Giant of its own, which is a different vibe again from the ubiquitous NTUCs which seem to be taking over ever oth...",0,-3,1,1,8,0
Yishun,Yishun East,food,10,4.4,0,0,0,3,3,0,0,0,0,0,0,0,"A good bowl of Lormee should have that thick, gooey yet smooth gravy and packed with flavour. Unfortunately, this Lormee at Yishun Park (早碗见面 Lor mee & Satay Beehoon) , gravy was d... || Family went there for lunch on a Saturday at around 1130H. It was not too crowded, and we managed to find a table without needing to wait. Parking was okay too. The hawker centre w... || I would like to introduce a delicious Pao Fan at Stall 01-35A if you are dining at Yishun Park Market, 51 Yishun Ave 11. Look for Chef Kelvin — he is very polite and courteous. The...",0,-3,3,0,0,0
Yishun,Yishun East,shopping,10,4.6,0,0,0,4,3,0,0,1,4,0,0,0,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",0,-4,3,-1,4,0
Yishun,Yishun East,recreation,10,4.9,0,0,1,1,1,0,0,0,4,0,1,0,"Awesome place with many facilities and some F&B establishments. Adventure HQ is fantastic for kids and adults alike, with a huge play area with many obstacles and slides, as well a... || I was attended by a Fitnessworkz staff (Syarf, if I did not spell his name wrongly). He is patient & shared good information. Gym is good & have quite a few Hyrox equipment. Good p... || Highly recommend Deluxe Mancave for private gathering. Equipped with the necessity and able to create cosy ambience. Staff is very attentive and offer the help you needed.",0,0,1,0,4,1
Yishun,Yishun East,nature,10,4.7,10,0,1,5,1,0,0,0,1,0,0,0,"Quiet, underrated gem in the northeast. Punggol Park has a really chill vibe, especially around the big lake in the middle. Great for evening walks, light jogs, or just sitting dow... || If u are in Hougang / Sengkang area, and wanted a park to stroll or exercise. Try this Punggol Park. Pls note that although it called Punggol Park, it’s actually in end of upper Se... || Actually, It's a Nice and quiet park with a running loop around a pond.The park with a lot of place to rest chair benches. It's shady with huge trees and bird chirping. The place i...",10,-4,1,0,1,0
Yishun,Yishun South,education,10,4.3,1,3,4,1,4,0,0,1,0,0,0,0,"Yishun library is located at the 4th level of Yishun Northpoint City (North wing). A modern designed and cosy place, but is smaller size as compared to the other libraries being si... || Been coming here a lot. Love the place and the small reading nooks. It can get crowded with a lot of students but plenty of spaces you can find. I live that their collection of fic... || Yishun Library moved over to Northpoint lv 4 since ages ago from the Blk 290 near where POSB Yishun North branch is located. Been here multiple times, it’s clean and very cosy to b...",-2,3,4,-1,0,0
Yishun,Yishun South,transport,10,3.9,0,0,0,3,1,0,1,0,8,0,0,0,"Always the escalator is in maintenance during peak hour. Not sure what is the management thinking and most tourist coming to take the shuttle bus to zoo. Almost every month and mai... || Came here just because TEL thomson MRT will start operation at 8.30am on every Saturdays from 22 june to 4 july. My job starts at 7am , so i had to take bus 855 from opp khatib bus... || One of our earlier MRTs with a simple, grassroots vibe. And with a Giant of its own, which is a different vibe again from the ubiquitous NTUCs which seem to be taking over ever oth...",0,-3,1,1,8,0
Yishun,Yishun South,food,10,4.4,0,0,0,3,3,0,0,0,0,0,0,0,"A good bowl of Lormee should have that thick, gooey yet smooth gravy and packed with flavour. Unfortunately, this Lormee at Yishun Park (早碗见面 Lor mee & Satay Beehoon) , gravy was d... || Family went there for lunch on a Saturday at around 1130H. It was not too crowded, and we managed to find a table without needing to wait. Parking was okay too. The hawker centre w... || I would like to introduce a delicious Pao Fan at Stall 01-35A if you are dining at Yishun Park Market, 51 Yishun Ave 11. Look for Chef Kelvin — he is very polite and courteous. The...",0,-3,3,0,0,0
Yishun,Yishun South,shopping,10,4.6,0,0,0,4,3,0,0,1,4,0,0,0,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",0,-4,3,-1,4,0
